Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.16     0.00    26424     0.00     0.00  jbutil::image<int>::operator()(int, int, int)
  0.00      0.16     0.00     7882     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::size() const
  0.00      0.16     0.00     5660     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.16     0.00     5630     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.16     0.00     5630     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.16     0.00     5630     0.00     0.00  decltype (({parm#1}.max_size)()) std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::_S_max_size<jbutil::aligned_allocator<int, 128ul> const>(jbutil::aligned_allocator<int, 128ul> const&, int)
  0.00      0.16     0.00     5630     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::max_size(jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     5630     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_S_max_size(jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     4504     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_M_get_Tp_allocator() const
  0.00      0.16     0.00     4504     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::max_size() const
  0.00      0.16     0.00     4504     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_M_get_Tp_allocator()
  0.00      0.16     0.00     3378     0.00     0.00  jbutil::aligned_allocator<int, 128ul>::~aligned_allocator()
  0.00      0.16     0.00     3378     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.16     0.00     3378     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.16     0.00     3378     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.16     0.00     2252     0.00     0.00  jbutil::aligned_allocator<int, 128ul>::aligned_allocator(jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     2252     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.16     0.00     2252     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.16     0.00     2252     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_M_allocate(unsigned long)
  0.00      0.16     0.00     2252     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_M_deallocate(int*, unsigned long)
  0.00      0.16     0.00     2252     0.00     0.00  jbutil::vector<int, 128ul>* std::__addressof<jbutil::vector<int, 128ul> >(jbutil::vector<int, 128ul>&)
  0.00      0.16     0.00     2252     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, jbutil::aligned_allocator<int, 128ul> >(int*, unsigned long, jbutil::aligned_allocator<int, 128ul>&)
  0.00      0.16     0.00     1133     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.16     0.00     1131     0.00     0.00  jbutil::isaligned(void const*, int)
  0.00      0.16     0.00     1126     0.00     0.00  jbutil::aligned_allocator<int, 128ul>::deallocate(int*, unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  jbutil::aligned_allocator<int, 128ul>::allocate(unsigned long, void const*)
  0.00      0.16     0.00     1126     0.00     0.00  jbutil::aligned_allocator<int, 128ul>::aligned_allocator()
  0.00      0.16     0.00     1126     0.00     0.00  jbutil::vector<int, 128ul>::vector(unsigned long)
  0.00      0.16     0.00     1126     0.00     0.01  jbutil::vector<int, 128ul>::~vector()
  0.00      0.16     0.00     1126     0.00     0.01  void __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::destroy<jbutil::vector<int, 128ul> >(jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00     1126     0.00     0.00  void __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::construct<jbutil::vector<int, 128ul>>(jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00     1126     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_M_check_len(unsigned long, char const*) const
  0.00      0.16     0.00     1126     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_Vector_impl::_Vector_impl(jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_Vector_impl::~_Vector_impl()
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_M_create_storage(unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::_Vector_base(unsigned long, jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     1126     0.00     0.00  std::_Vector_base<int, jbutil::aligned_allocator<int, 128ul> >::~_Vector_base()
  0.00      0.16     0.00     1126     0.00     0.01  decltype (({parm#1}.destroy)({parm#2})) std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_S_destroy<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>, jbutil::vector<int, 128ul> >(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>&, jbutil::vector<int, 128ul>*, int)
  0.00      0.16     0.00     1126     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::__construct_helper<jbutil::vector<int, 128ul>>::type>::value, void>::type std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_S_construct<jbutil::vector<int, 128ul>>(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>&, jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00     1126     0.00     0.01  void std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::destroy<jbutil::vector<int, 128ul> >(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>&, jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00     1126     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2})) std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::construct<jbutil::vector<int, 128ul>>(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>&, jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00     1126     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<int, 128ul> >::deallocate(jbutil::aligned_allocator<int, 128ul>&, int*, unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_S_relocate(int*, int*, int*, jbutil::aligned_allocator<int, 128ul>&)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_S_do_relocate(int*, int*, int*, jbutil::aligned_allocator<int, 128ul>&, std::integral_constant<bool, true>)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_M_default_append(unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_S_check_init_len(unsigned long, jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::_M_default_initialize(unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::resize(unsigned long)
  0.00      0.16     0.00     1126     0.00     0.00  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::vector(unsigned long, jbutil::aligned_allocator<int, 128ul> const&)
  0.00      0.16     0.00     1126     0.00     0.01  std::vector<int, jbutil::aligned_allocator<int, 128ul> >::~vector()
  0.00      0.16     0.00     1126     0.00     0.00  int* std::__relocate_a<int*, int*, jbutil::aligned_allocator<int, 128ul> >(int*, int*, int*, jbutil::aligned_allocator<int, 128ul>&)
  0.00      0.16     0.00     1126     0.00     0.00  int* std::__relocate_a_1<int*, int*, jbutil::aligned_allocator<int, 128ul> >(int*, int*, int*, jbutil::aligned_allocator<int, 128ul>&)
  0.00      0.16     0.00     1126     0.00     0.01  void std::_Destroy<int*, jbutil::aligned_allocator<int, 128ul> >(int*, int*, jbutil::aligned_allocator<int, 128ul>&)
  0.00      0.16     0.00       64     0.00     0.00  std::round(float)
  0.00      0.16     0.00       36     0.00     0.00  ResampleParams<float>& std::forward<ResampleParams<float>&>(std::remove_reference<ResampleParams<float>&>::type&)
  0.00      0.16     0.00       30     0.00     0.00  void (&std::forward<void (&)(ResampleParams<float> const&)>(std::remove_reference<void (&)(ResampleParams<float> const&)>::type&))(ResampleParams<float> const&)
  0.00      0.16     0.00       19     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.16     0.00       14     0.00     0.00  std::vector<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::size() const
  0.00      0.16     0.00       14     0.00     0.00  std::thread::id::id()
  0.00      0.16     0.00       12     0.00     0.00  std::thread* std::__addressof<std::thread>(std::thread&)
  0.00      0.16     0.00       11     0.00     0.00  std::thread::~thread()
  0.00      0.16     0.00       11     0.00     0.00  std::thread* std::__niter_base<std::thread*>(std::thread*)
  0.00      0.16     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<jbutil::matrix<int> >::_M_max_size() const
  0.00      0.16     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<jbutil::matrix<int> >::max_size() const
  0.00      0.16     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::_M_max_size() const
  0.00      0.16     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::max_size() const
  0.00      0.16     0.00       10     0.00     0.00  std::thread::joinable() const
  0.00      0.16     0.00       10     0.00     0.00  decltype (({parm#1}.max_size)()) std::allocator_traits<jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_S_max_size<jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> const>(jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> const&, int)
  0.00      0.16     0.00       10     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::max_size(jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> const&)
  0.00      0.16     0.00       10     0.00     0.00  decltype (({parm#1}.max_size)()) std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_S_max_size<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> const>(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> const&, int)
  0.00      0.16     0.00       10     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::max_size(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> const&)
  0.00      0.16     0.00       10     0.00     0.00  std::vector<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_S_max_size(jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> const&)
  0.00      0.16     0.00       10     0.00     0.00  std::vector<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_S_max_size(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> const&)
  0.00      0.16     0.00       10     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.16     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00      0.16     0.00        8     0.00     0.00  std::_Vector_base<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_M_get_Tp_allocator() const
  0.00      0.16     0.00        8     0.00     0.00  std::_Vector_base<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_M_get_Tp_allocator() const
  0.00      0.16     0.00        8     0.00     0.00  std::vector<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::max_size() const
  0.00      0.16     0.00        8     0.00     0.00  std::vector<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::max_size() const
  0.00      0.16     0.00        8     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::size() const
  0.00      0.16     0.00        8     0.00     0.00  std::_Vector_base<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_M_get_Tp_allocator()
  0.00      0.16     0.00        8     0.00     0.00  std::_Vector_base<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_M_get_Tp_allocator()
  0.00      0.16     0.00        8     0.00     0.00  void std::_Destroy<std::thread>(std::thread*)
  0.00      0.16     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<std::thread>::_M_max_size() const
  0.00      0.16     0.00        7     0.00     0.00  std::vector<float, jbutil::aligned_allocator<float, 128ul> >::size() const
  0.00      0.16     0.00        7     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.16     0.00        6     0.00     0.00  jbutil::aligned_allocator<jbutil::matrix<int>, 128ul>::~aligned_allocator()
  0.00      0.16     0.00        6     0.00     0.00  jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>::~aligned_allocator()
  0.00      0.16     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<jbutil::matrix<int> >::~new_allocator()
  0.00      0.16     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::~new_allocator()
  0.00      0.16     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator*() const
  0.00      0.16     0.00        6     0.00     0.00  std::allocator<jbutil::matrix<int> >::~allocator()
  0.00      0.16     0.00        6     0.00     0.00  std::allocator<jbutil::vector<int, 128ul> >::~allocator()
  0.00      0.16     0.00        6     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_get_Tp_allocator()
  0.00      0.16     0.00        6     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.16     0.00        6     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_relocate(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00      0.16     0.00        6     0.00     0.00  float* std::__addressof<float>(float&)
  0.00      0.16     0.00        6     0.00     0.00  jbutil::matrix<int>* std::__niter_base<jbutil::matrix<int>*>(jbutil::matrix<int>*)
  0.00      0.16     0.00        6     0.00     0.00  jbutil::vector<int, 128ul>* std::__niter_base<jbutil::vector<int, 128ul>*>(jbutil::vector<int, 128ul>*)
  0.00      0.16     0.00        6     0.00     0.00  ResampleParams<float>&& std::forward<ResampleParams<float> >(std::remove_reference<ResampleParams<float> >::type&)
  0.00      0.16     0.00        6     0.00     0.00  void (*&&std::forward<void (*)(ResampleParams<float> const&)>(std::remove_reference<void (*)(ResampleParams<float> const&)>::type&))(ResampleParams<float> const&)
  0.00      0.16     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00      0.16     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.16     0.00        5     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.16     0.00        5     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.16     0.00        5     0.00     0.00  decltype (({parm#1}.max_size)()) std::allocator_traits<jbutil::aligned_allocator<float, 128ul> >::_S_max_size<jbutil::aligned_allocator<float, 128ul> const>(jbutil::aligned_allocator<float, 128ul> const&, int)
  0.00      0.16     0.00        5     0.00     0.00  std::allocator_traits<jbutil::aligned_allocator<float, 128ul> >::max_size(jbutil::aligned_allocator<float, 128ul> const&)
  0.00      0.16     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::thread> >::max_size(std::allocator<std::thread> const&)
  0.00      0.16     0.00        5     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)(ResampleParams<float> const&), ResampleParams<float> > >::_Invoker<void (&)(ResampleParams<float> const&), ResampleParams<float>&>(void (&)(ResampleParams<float> const&), ResampleParams<float>&)
  0.00      0.16     0.00        5     0.00     0.00  std::vector<float, jbutil::aligned_allocator<float, 128ul> >::_S_max_size(jbutil::aligned_allocator<float, 128ul> const&)
  0.00      0.16     0.00        5     0.00     0.00  std::remove_reference<std::thread::id&>::type&& std::move<std::thread::id&>(std::thread::id&)
  0.00      0.16     0.00        4     0.00     0.00  jbutil::aligned_allocator<jbutil::matrix<int>, 128ul>::aligned_allocator(jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> const&)
  0.00      0.16     0.00        4     0.00     0.00  jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>::aligned_allocator(jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> const&)
  0.00      0.16     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<jbutil::matrix<int> >::new_allocator(__gnu_cxx::new_allocator<jbutil::matrix<int> > const&)
  0.00      0.16     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<jbutil::vector<int, 128ul> >::new_allocator(__gnu_cxx::new_allocator<jbutil::vector<int, 128ul> > const&)
  0.00      0.16     0.00        4     0.00     0.00  bool __gnu_cxx::operator!=<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&, __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&)
  0.00      0.16     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::thread>::max_size() const
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<std::thread, std::allocator<std::thread> >::_M_get_Tp_allocator() const
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<float, jbutil::aligned_allocator<float, 128ul> >::_M_get_Tp_allocator() const
  0.00      0.16     0.00        4     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::max_size() const
  0.00      0.16     0.00        4     0.00     0.00  std::vector<float, jbutil::aligned_allocator<float, 128ul> >::max_size() const
  0.00      0.16     0.00        4     0.00     0.00  std::allocator<jbutil::matrix<int> >::allocator(std::allocator<jbutil::matrix<int> > const&)
  0.00      0.16     0.00        4     0.00     0.00  std::allocator<jbutil::vector<int, 128ul> >::allocator(std::allocator<jbutil::vector<int, 128ul> > const&)
  0.00      0.16     0.00        4     0.00     0.00  std::_Head_base<0ul, void (*)(ResampleParams<float> const&), false>::_Head_base(void (* const&)(ResampleParams<float> const&))
  0.00      0.16     0.00        4     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_M_allocate(unsigned long)
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<jbutil::matrix<int>, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >::_M_deallocate(jbutil::matrix<int>*, unsigned long)
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_M_allocate(unsigned long)
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<jbutil::vector<int, 128ul>, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >::_M_deallocate(jbutil::vector<int, 128ul>*, unsigned long)
  0.00      0.16     0.00        4     0.00     0.00  std::_Vector_base<float, jbutil::aligned_allocator<float, 128ul> >::_M_get_Tp_allocator()
  0.00      0.16     0.00        4     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_max_size(std::allocator<std::thread> const&)
  0.00      0.16     0.00        4     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_do_relocate(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&, std::integral_constant<bool, true>)
  0.00      0.16     0.00        4     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::end()
  0.00      0.16     0.00        4     0.00     0.00  jbutil::matrix<int>* std::__addressof<jbutil::matrix<int> >(jbutil::matrix<int>&)
  0.00      0.16     0.00        4     0.00     0.62  jbutil::matrix<int>* std::__uninitialized_default_n_a<jbutil::matrix<int>*, unsigned long, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul> >(jbutil::matrix<int>*, unsigned long, jbutil::aligned_allocator<jbutil::matrix<int>, 128ul>&)
  0.00      0.16     0.00        4     0.00     1.25  jbutil::vector<int, 128ul>* std::__uninitialized_default_n_a<jbutil::vector<int, 128ul>*, unsigned long, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul> >(jbutil::vector<int, 128ul>*, unsigned long, jbutil::aligned_allocator<jbutil::vector<int, 128ul>, 128ul>&)
  0.00      0.16     0.00        4     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.16     0.00        4     0.00     0.00  std::remove_reference<std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.16     0.00        4     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
